,Year,Breed_C,Breed_NC,Gained,Lost,Regained,Default
0,0,6536,2301,4140,1461,,3236.0
1,1,3558,5279,4147,1299,546,2845.0
2,2,6773,2064,4226,1021,1076,2514.0
3,3,3590,5247,4252,1225,1030,2330.0
4,4,3647,5190,4252,1992,385,2208.0
5,5,6304,2533,4315,582,1877,2063.0
6,6,4761,4076,4406,1338,1179,1914.0
7,7,6455,2382,4436,528,2033,1840.0
8,8,4832,4005,4447,1280,1316,1794.0
9,9,6308,2529,4454,638,1986,1759.0
10,10,4802,4035,4463,1306,1348,1720.0
11,11,5059,3778,4463,1235,1449,1690.0
12,12,3446,5391,4463,2047,658,1669.0
13,13,7048,1789,4481,318,2411,1627.0
14,14,4444,4393,4486,1465,1284,1602.0
